,Lo PRIOR,PRIOR 2,PRIOR 3,PRIOR 4,PRIOR 5,PRIOR 6,PRIOR 7,PRIOR 8,PRIOR 9,Hi PRIOR
197001,-6.62,-7.66,-9.34,-12.14,-7.1,-9.01,-6.38,-7.23,-6.01,-7.05
197002,3.74,4.47,6.55,6.78,7.06,5.45,5.74,7.99,7.28,3.19
197003,-3.85,-2.6,-0.49,0.24,1.84,2.04,3.19,1.16,-1.73,-2.98
197004,-17.45,-12.98,-8.37,-12.48,-9.89,-9.57,-8.55,-10.12,-10.09,-11.41
197005,-9.68,-4.97,-0.92,-0.74,-7.53,-8.54,-6.39,-6.65,-8.29,-6.29
197006,-11.57,-11.89,-6.34,-3.4,-5.2,-5.87,-6.39,-5.94,-5.17,-0.94
197007,5.22,12.14,10.74,10.53,9.26,10.79,5.44,7.62,5.89,4.43
197008,13.09,9.33,8.9,7.29,6.91,5.68,4.51,5.57,2.35,2.04
197009,22.72,12.55,7.53,8.19,6.78,5.35,1.91,2.63,1.28,4.11
197010,-14.53,-11.19,-4.29,-3.51,-1.12,-1.67,-0.43,-1.49,0.54,-1.28
197011,-1.16,5,2.96,3.93,5.05,5.29,4.35,5.99,5.89,5.57
197012,5.78,10.51,8.09,8.12,7.43,7.06,7.82,6.53,4.41,3.45
197101,13.36,11.74,10.72,7.65,3.63,6.48,5.13,4.08,4.11,2.05
197102,4.67,0.08,1.63,2.25,1.99,-0.6,1.72,1.33,1.45,3.99
197103,7.98,6.25,5.92,5.92,2.14,3.89,2.75,3.95,3.33,5.18
197104,3.57,2.62,4.45,0.3,3.51,3.79,4.17,5.25,5.29,4.97
197105,-5.78,-4.75,-1.85,-3.41,-5.21,-2.23,-3.16,-5.26,-2.81,-2.96
197106,-2.96,0.05,1.53,0,-0.05,-0.09,0.19,-0.36,2.5,2.65
197107,-4.97,-3.73,-1.42,-5.32,-3.11,-2.89,-3.41,-5.37,-8.12,-6.24
197108,2.37,1.01,3.86,2.66,2.82,7.34,5.6,4.84,5.48,8.81
197109,-3.68,-1.14,-1.13,-1.45,1.05,0.9,-0.43,-0.54,-0.57,0.49
197110,-9.19,-3.99,-2.71,-2.38,-3.51,-3.66,-4.37,-4.38,-6.02,-4.11
197111,-3.45,-1.51,0.3,0.37,-0.42,0.21,0.79,-0.56,0.18,0.97
197112,11.78,10.19,8.97,7.77,8.14,9.4,8.48,8.69,9.93,10.8
197201,6.22,-0.65,1.58,4.28,2.06,3.21,2.49,1.9,2.05,6.11
197202,4.83,4.49,-0.25,-0.14,1.67,1.96,4.92,3.31,5.05,5.67
197203,-1.62,-2.86,-0.53,-1.56,-0.86,2.74,1.19,0.51,3.37,1.31
197204,-2.24,1.02,-1.09,-0.8,-1.19,1.13,1.3,0.22,2.71,1.27
197205,-2.34,0.92,-1.44,1.72,-1.29,0.34,1.54,1.61,3.49,5.49
197206,-5.9,-4.06,-3.02,-2.34,-1.5,-2.34,-2.35,-2.81,-1.35,0.54
197207,-4.74,-2.68,-3.45,-0.97,0.66,-1.37,-1.3,1.22,1.95,-0.26
197208,4.38,9.24,7.51,6.47,5.41,7,2.41,1.11,2.06,-1.55
197209,-4.33,-3.13,-1.66,-1.04,1.66,-2.38,-2.43,-0.4,-0.14,0.51
197210,-3.38,0.18,1.22,-0.22,2.56,1.04,2.74,0.37,-0.07,1.74
197211,9.41,8.56,9.64,7.6,8.15,8.38,5.41,2.6,2.08,1.54
197212,-4.29,-3.11,-1.74,-1.21,-1.01,-0.56,1.47,1.88,2.08,5.35
197301,-10.88,-7.56,-6.33,-5.29,-5.31,-4.31,1.43,-0.98,-1.17,-2.88
197302,-9.28,-8.83,-8.71,-4.19,-4.14,-4.7,-3.09,-3.6,-2.52,-5.11
197303,-4.15,-3.22,-2.57,-3.82,-1.72,-1.25,-2.82,-0.52,-0.26,1.79
197304,-11.46,-13.04,-8.65,-8.48,-6.44,-4.58,-3.65,-3.31,-4.64,-3.08
